,0h,2.5h ctrl,2.5h agar,5h ctrl,5h agar
0,1.6385908995353375,2.071924805517975,4.453328806928626,1.122574706973375,2.4733563004748174
1,2.273786508958348,2.2225923086642365,1.420401382089889,1.1679851868681437,2.5866289235378472
2,2.3532690247754773,1.927505270734686,1.4802784326553058,1.2383182486785158,3.5357318673932547
3,1.5241148761212182,1.9194120617675143,1.3146317931141418,1.2527856985529866,1.7124930886168117
4,2.1936815034498984,2.867141986906107,1.5926133246580283,1.330313680766956,2.3697155635322766
5,1.294953279555179,1.984600858240864,1.3943428559747033,1.5976715676254818,2.329994951894415
6,1.3166603178597918,1.8530943332152607,1.7966486259093288,2.24163951710911,2.8203658407085683
7,3.2706176652107075,1.4628572527292896,1.172099229330088,1.9890721291891609,3.0454232242347694
8,3.659944884894768,1.6724451520761838,1.1531712390800062,1.537955074167715,1.3689269350891176
9,1.2046548854961625,1.641791125783999,1.931708333475688,1.8174194992272736,2.9868711133067603
10,1.3689761649371996,2.592594401965266,3.0909928691909725,1.2197113971479314,1.5773230237627949
11,1.9740850937702856,1.833157277351036,1.206221391083933,1.1966979562857392,2.3134219660731703
12,2.057733609291596,1.4192006088035962,2.364450282782085,1.547521643897014,1.862231584048547
13,1.991133083790693,1.5414419480313908,1.432639482815388,1.5729271993434284,1.4164630890908412
14,1.5035627701985796,1.4411684993522138,1.645906950078308,1.201850271280668,1.940844853847476
15,2.380873881214327,1.259463873836714,1.2232999786648089,1.253597966124515,1.8407410229032324
16,2.304012147208651,1.3623260457870117,2.319774539773899,1.1054852615185569,2.902292880867328
17,1.98953664658081,1.5751690753492658,2.9116931487278896,2.0680641298931084,2.645302270173806
18,1.929030530505519,1.195677364272369,2.9179821559735584,1.7663506572003067,2.3867605792318
19,1.3319026050836449,1.6035876423818665,2.981944065424176,1.1994742083216925,2.445827552831486
20,2.1676725337676026,1.753135598558299,2.5138098153616006,2.4831295162033884,1.9877271898332585
21,2.7438813737409644,1.5624016085223338,1.6046945057806816,2.014867826306173,2.1227607509852486
22,1.6766965330855776,1.6323465272060045,2.435975304670653,1.1421049469268263,1.669848093607734
23,2.1167657137046296,2.24771728765582,1.8104235697033,2.269708908035315,2.317463799593431
24,2.5011142330273404,1.3037405829481277,3.1285297373359766,1.997307547613411,2.266929654280683
25,1.458869534989913,2.759501525536664,2.067930109938058,1.1059554663661466,1.8432175902406769
