Column1;Column2;fx;fy;fz;area;perimeter;nb_neighbor;aniso
31;2,528605375;2.528605375;76.12625435000001;10.09243125;12.608766087587469;15.646933286669713;4.0;2.4733563004748174
30;3,01239156;3.01239156;72.46312772000002;7.7885025;10.083259836471218;13.933631661271926;5.0;2.5866289235378472
43;3,127752833;3.1277528333333335;78.73813106666667;12.505099999999999;17.84815602480524;18.4029448527002;3.0;3.5357318673932547
3;3,17324742;3.17324742;44.17199404;3.3029775;30.659908791599815;23.011182139202884;5.0;1.7124930886168117
36;3,20249394;3.20249394;66.93553544;5.0971874999999995;17.1259337718071;18.376975016876074;5.0;2.3697155635322766
24;3,71430804;3.71430804;60.95462210000001;3.2214225;16.83848267404303;18.339403325042344;5.0;2.329994951894415
16;4,200125233;4.200125233333334;51.49012326666667;2.310725;45.02194371265095;30.99408688611785;6.0;2.8203658407085683
42;4,299934786;4.299934785714286;76.17325768571429;10.966234821428571;15.189193282341416;18.398166983387906;7.0;3.0454232242347694
39;4,549458667;4.549458666666667;28.3447523;9.51475;2.0094175801666636;5.310004578809261;3.0;1.3689269350891176
29;4,895310371;4.895310371428572;69.6554618;6.815667857142857;16.488500770089285;19.97996841076474;7.0;2.9868711133067603
45;5,0937689;5.093768900000001;19.24177295;17.63626875;33.80558802092615;22.183713637460574;4.0;1.5773230237627947
25;5,20588056;5.20588056;64.09374858;4.403969999999999;14.457141880435584;17.43868497711357;5.0;2.3134219660731703
1;5,43010388;5.43010388;40.19446732;3.7107525000000003;17.145041329626945;16.445803229590894;5.0;1.5141023557744246
23;5,562931825;5.562931825000001;72.83602085000001;8.7416765625;8.869468355562997;14.9450811668362;4.0;3.5759938573422696
34;5,807523257;5.807523257142857;28.195037971428572;9.1749375;39.45390959884585;23.72088561084456;7.0;1.2196298628362667
35;5,884121286;5.884121285714286;24.869987185714283;11.505080357142857;26.583151083310547;20.8383301756465;7.0;1.303569339939124
22;6,072714917;6.0727149166666665;76.30092106666667;11.077887500000001;9.131388852234474;14.824306647975337;6.0;3.512486427557414
14;6,277556614;6.277556614285714;58.11004985714286;2.883551785714286;20.069432655535312;18.721874328134355;7.0;2.1199272917725787
4;6,428141375;6.428141375;36.759219825;4.6894125;18.528242438962415;16.449260806312278;4.0;1.1140746372259014
41;6,734823633;6.734823633333334;20.236967033333332;15.631375;18.873573581279466;17.622540390648574;6.0;1.7092302150620053
21;6,74619728;6.746197280000001;50.54286098;2.038875;16.65158876106546;17.698252400963547;5.0;2.331772608360783
18;6,771381783;6.771381783333333;70.47598916666668;7.356940625;13.129502873752292;20.391088869100255;6.0;4.462193273716937
2;6,792852443;6.792852442857144;43.94637802857143;2.5049035714285712;15.66788078844027;15.631773335437877;7.0;1.5904565459795006
32;7,0191648;7.0191647999999995;64.71604953333333;4.99524375;10.337030283591055;17.026093768214547;6.0;3.814718675786354
28;7,067909;7.067909;78.240534025;11.570615625;12.950557499493621;18.62419988866592;4.0;4.000691241177274
37;7,712028786;7.712028785714287;74.67263267142857;8.825416071428572;15.688890479698557;18.653850833995012;7.0;2.942842017253893
33;8,256048875;8.256048875;79.22151105;10.449234375;11.463364523291892;13.65923757018079;4.0;1.5325352545174629
10;8,37181635;8.37181635;31.372985725;6.62634375;19.54794862022691;16.558683825449958;4.0;1.236142872361094
13;8,418819686;8.418819685714286;60.665638628571436;3.8156089285714287;10.764739102718021;15.651436123326938;7.0;3.220756585059297
12;8,428684583;8.428684583333334;54.43914736666667;2.5146125;13.765041571963419;15.364908841821453;6.0;2.096267834480666
17;8,5789792;8.578979200000001;66.45923497142857;5.213694642857143;11.691377665771023;17.191354986034238;7.0;3.7196442809632244
5;8,68621644;8.686216439999999;34.359786580000005;5.2602975;16.43896849162792;15.14417038968373;5.0;1.1828221457956536
9;8,7008397;8.700839700000001;38.51198001666667;3.6699749999999995;16.964136959175352;16.07946958638432;6.0;1.461612318860033
44;8,853165325;8.853165325;21.691169000000002;14.0682375;18.08786723510035;17.118289064392528;4.0;1.5680340255972551
40;9,07860725;9.078607250000001;76.30295207500001;7.84966875;22.922456981940663;20.878398207042586;4.0;2.1540997363967875
6;9,111103383;9.111103383333335;47.52965701666667;2.00489375;18.189963137033814;18.588475322136322;6.0;2.2639767335723042
27;9,35401198;9.35401198;70.23064336;5.4641850000000005;15.249804018377619;19.091727444379412;5.0;3.1507727617897245
15;9,42712828;9.42712828;63.64042752;4.0369725;2.793710551238082;6.391902689101049;5.0;1.4484027409856113
47;9,464498833;9.464498833333334;19.562672266666667;16.3789625;14.4603467241489;16.462050355113785;3.0;2.7730847513774726
20;9,5294911;9.529491100000001;60.94243605;3.619003125;4.8581021184224245;10.35805140424843;4.0;2.6916723695526
11;9,779305125;9.779305125;42.41964005;2.54859375;16.80527421233703;17.576308934648534;4.0;1.7140116305694681
7;10,1875378;10.187537800000001;51.382479825000004;2.2427625;15.788231095943086;18.815134058354303;4.0;2.769456647638281
26;10,1875378;10.1875378;65.01013954;3.7107525000000003;11.143260824548221;15.27066798878897;5.0;1.9703872108389993
8;10,25659208;10.256592083333333;56.539209983333336;2.75248125;12.729019200467654;14.441009795650372;6.0;1.7611400696672224
19;10,74322168;10.74322168;60.944873259999994;2.9767575;12.020720595685614;17.213676465442482;5.0;3.4194360503460586
