Column1,fx,fy,fz,area,perimeter,nb_neighbor,aniso
33,3.394042333333333,71.43375906666667,10.386666666666668,23.59698284007013,19.0634378685608,3.0,1.28107249080703
37,3.466256,31.701799666666663,2.3275,29.205102846014007,25.84118346574081,6.0,3.022753039865524
27,3.52041625,58.9913443,3.6575,24.388088137170385,20.82013405791309,4.0,1.7653517660775928
40,4.128558485714286,66.66972031428571,7.491428571428571,24.69966405816088,22.479072793943843,7.0,2.827497680196214
41,4.224499499999999,20.797536,5.9375,33.306711128655245,25.796839943205825,6.0,2.654426635873083
31,4.38481384,38.41478212,1.311,15.451549369323155,16.707097435947354,5.0,2.1766621454442685
24,5.0044071,45.24908353333333,1.393333333333333,22.66583371603105,19.009627677764986,6.0,1.744891553661487
32,5.05856735,72.43391835,11.6375,22.9716650228292,19.288462150078235,4.0,2.3145553109245816
25,5.07806504,59.35096836,4.047,20.899709713604693,19.977259716619727,5.0,2.4781332177924997
21,5.141613066666666,13.843359899999998,10.07,16.728041141287363,17.61058410976028,6.0,2.174711583370017
38,5.199383999999999,10.71289745,12.35,16.83374828800955,16.060533278328066,4.0,2.235394040003272
34,5.213826733333334,52.1888169,2.185,28.267401839464327,21.237627308590717,6.0,1.835956113730535
14,5.6759942,32.3661654,2.527,20.18678093989183,20.562208036909357,5.0,2.796484858619248
13,6.318695833333333,24.487654366666664,5.035,26.82360191535187,23.189586439327705,6.0,2.540954104537407
