,Column1,fx,fy,fz,area,perimeter,nb_neighbor,aniso
10,57,3.96052416,36.87321336,9.03221625,36.61932268647984,24.84871145149456,5.0,1.862231584048547
11,63,4.337553225000001,26.856158475,17.8146703125,28.93046822175497,21.152252903189492,4.0,1.4164630890908412
12,46,4.533516660000001,30.97368258,13.762406250000002,35.72812521311448,24.571782291099996,5.0,1.940844853847476
13,52,4.557746057142857,68.79511667142857,2.4175232142857146,13.099204977271558,14.871338869039633,7.0,1.8407410229032324
14,42,4.638947280000001,98.07798024000002,8.298221250000001,13.155560208338835,17.01288818535922,5.0,2.902292880867328
15,5,4.826888820000001,57.161731800000005,2.95636875,14.752228112973595,17.982958145420856,5.0,2.645302270173806
16,2,4.9735749,62.66627975,2.44665,13.111578258798426,16.659488445602076,6.0,2.3867605792318
17,45,5.0958133000000005,94.78441935,6.983146875,11.959325250817054,16.01022273519824,6.0,2.445827552831486
18,11,5.3861295,74.21780855,2.7185,17.023703429891853,17.16052202935027,6.0,1.9877271898332585
19,14,5.6124615375,84.774240375,4.2561515625,29.812991468969297,23.204312112469054,8.0,2.1227607509852486
20,13,5.89418285,79.52753905,3.36414375,15.588573385769909,15.874422030682346,6.0,1.669848093607734
21,69,5.9132826,24.5928381,22.7674375,30.36006166696085,23.77798372057316,3.0,2.317463799593431
22,1,5.919012525,66.31815195,2.34470625,9.816694533542812,13.960850383101995,4.0,2.266929654280683
23,68,5.94766215,109.65930465,13.1762296875,28.868664087458907,21.74747321758063,4.0,1.8432175902406769
24,28,5.97287382,43.432831500000006,6.5651775,24.033249706784115,21.539595181354954,5.0,2.2051137188154493
25,23,6.5005999125,49.856077425,4.5110109375,23.423197685717295,22.18034536287493,8.0,2.5953836094481173
26,37,6.5521692375,104.9263866,12.386165625,49.13241451791651,33.281338584164764,8.0,3.020954413346516
27,19,6.7001923,92.2670723,5.87875625,16.368736591891036,16.74854011535688,6.0,1.9304670275461544
28,48,7.018012140000001,100.1132496,10.25554125,12.11869078654345,19.131401589433583,5.0,4.090076258106676
29,67,7.07072745,114.615689775,16.973634375,37.41207921928715,23.40731641694809,4.0,1.1635900533058
30,7,7.0745474,56.76063705000001,2.8544250000000004,14.981090161333464,18.537101019140124,6.0,2.8993021032777326
31,35,7.20060575,37.55392845,10.143403125,20.01753656944275,20.515240864984875,6.0,2.434138718246948
32,36,7.271274825000001,81.966577125,3.619003125,2.4453477203132525,6.651636291496225,4.0,2.0435488696572377
33,61,7.708659100000001,27.01850635,20.983421875,41.1553605559112,30.02280847836913,6.0,2.9096869360894555
34,3,7.7774182,62.9909755,2.14081875,24.003562213225603,20.397849375267164,6.0,1.9310617663389928
35,38,7.907296500000001,32.38171615,14.696890625,30.498443923046253,26.177881586533992,6.0,2.8608010050685677
36,24,8.0448147,74.79156504,2.2427625,17.35830881835651,17.513419943433576,5.0,1.9490535607479544
