,Column1,fx,fy,fz,area,perimeter,nb_neighbor,aniso
12,25,3.2756094,21.67274896666667,24.83333333333333,19.644660566084795,16.70048124183697,6.0,1.150082660615713
13,42,3.815045075,44.240224575,19.35,12.232297281141928,17.906553862970704,4.0,3.471064649233058
14,64,3.906034225,64.049862375,24.200000000000003,15.125119038655884,15.672995063283652,4.0,1.9522921861335485
15,82,3.94113004,82.32698292,36.78,13.846738141149247,17.014357231759952,5.0,3.919920362739009
16,15,4.072847666666666,27.241862655555558,21.53333333333333,20.477899375079154,17.84294676752194,9.0,1.5537957574904069
17,62,4.215830616666667,74.61543581666666,29.183333333333337,26.06544224233853,19.886078832896885,6.0,1.84879537531926
18,50,4.412973774999999,11.484130575,34.375,14.76839310877788,14.058101126866406,4.0,1.1486032114452218
19,48,4.466267419999999,59.26253324,23.84,12.785894448591376,15.044863875465673,5.0,2.003878643742803
20,1,4.514794966666667,33.31069453333333,19.116666666666667,16.189683775200155,17.01765668693867,6.0,2.072689077956328
21,85,4.564312871428571,79.37967722857142,33.55714285714286,23.075329517754312,19.285316687625464,7.0,2.0303690126128564
22,84,4.6047009125,54.4082620875,22.512500000000003,16.444666022541455,22.5244369089341,8.0,4.980628883452662
23,27,4.852754666666667,42.877553733333336,18.700000000000003,12.709810219214962,16.31439777211857,6.0,2.8572287614596275
24,49,4.883084383333333,48.83950946666667,19.98333333333333,15.228555153999132,18.298722177154712,6.0,3.4155849780131025
25,57,5.11099054,23.2672255,23.0,7.728322671043369,10.459351370336636,5.0,1.2102807670643536
26,52,5.294701966666667,63.48876261666666,26.08333333333333,11.13633275083602,14.087996693348408,6.0,2.076972892803952
27,32,5.3813583,16.7647508875,27.5875,16.337624597869805,15.94151679587262,8.0,1.5539996283195678
28,4,5.715604157142857,37.41696678571429,17.95714285714286,12.035856009474978,13.927374840409996,7.0,1.691385151331523
29,36,5.87010002,19.9136254,24.74,14.311500613328564,14.657710847760058,5.0,1.497532636558464
30,39,5.927293199999999,12.49151045,32.2625,17.469526523229963,16.273191898423818,8.0,1.5036226549460558
31,6,5.9532901,30.20319842,19.380000000000003,8.605590369276554,11.24408126606988,5.0,1.5331456368113092
32,35,5.9532901,60.24781575,26.08333333333333,11.12899065856969,13.61723393364804,6.0,2.1301680904993896
33,94,5.95848948,80.92834969999998,36.38,12.21545890895152,13.045761933034576,5.0,1.2637807316371572
34,66,6.11967026,72.44296154,29.96,15.730742017600734,15.056259180129484,5.0,1.4611478847030193
35,33,6.143934033333333,57.38815675,23.96666666666667,12.30649454199533,15.150575918616452,6.0,2.6368978247531727
36,46,6.3172467,25.002518575,21.825000000000003,7.048867599719775,10.142391906648314,4.0,1.2969753665853856
37,28,6.372954342857143,52.50259647142857,19.95714285714286,23.835107778497814,20.40474474251689,7.0,2.161086334990536
38,21,6.410835539999999,41.4650555,17.32,13.370864944879234,15.483271080105078,5.0,2.2295525503557823
39,30,6.412568666666666,46.46079311666667,17.76666666666667,14.100189230510004,14.62676051314821,6.0,1.6763880782652507
40,81,6.4212343,82.494662925,38.55,15.621537765908515,15.540637339141687,4.0,1.6294503075296274
