Column1;border;fx;fy;fz;area_approximate;area;perimeter_approximate;perimeter;nb_neighbor;orientationx;orientationy;orientationz;major;minor;aniso
40;1.0;2.291448133333333;11.230224133333332;29.349999999999998;6.534659034667417;26.802437314863337;17.502411191052182;21.45577988901982;3.0;-0.035557637295642985;-0.42076403227412995;0.9064729910892914;56.56630678235725;36.39984608568265;1.5540259881650103
34;1.0;2.4688048;9.4389218;29.549999999999997;8.784697043059676;19.409356610646903;15.268619230039938;18.452068831644464;4.0;0.0484687756366356;-0.0747297292502177;0.9960252232521395;53.19340397017748;19.167595697289613;2.7751735173389154
39;1.0;3.52868824;10.48816384;25.05;17.433477861661718;18.428179680501973;18.210905176418336;18.23508272065324;5.0;-0.35697549028457976;-0.05249317936302078;0.9326376388804207;45.37868254323874;20.912935578585206;2.169885828448991
33;1.0;4.292031333333333;7.931390133333333;24.825;21.819830477404597;23.032322741644425;20.31085660008462;20.44309113790741;6.0;-0.44110793184400127;-0.021908859178100815;0.8971865995175261;56.86820309963539;25.124678140030472;2.2634400640949432
35;1.0;4.9972014399999996;5.23131224;25.08;18.54414091709421;23.781915475618515;19.366819376564507;21.87229092297446;5.0;-0.32749165934238794;-0.06566420747231216;0.942569586247192;68.1717581602752;23.52633051815669;2.897679181530793
36;1.0;5.7037904;3.5471333333333335;24.799999999999997;5.421488442616164;23.223813102516864;17.55099674066117;21.80290089072678;3.0;-0.3441243107690297;-0.24440328042082082;0.9065569454023732;61.65118342443146;26.11352763825723;2.3608906570750063
19;1.0;8.942323133333334;4.497765066666667;19.599999999999998;24.02870766276619;25.308230439713604;23.57493473858854;23.618129267429097;6.0;-0.6263617760053156;-0.15688296050047346;0.7635827802301945;77.25852504376253;26.199078619019993;2.948902370470175
23;0.0;9.229640933333334;7.019776866666668;18.375;23.99683679765927;25.69679417385203;23.366811866367293;23.528804361830026;6.0;-0.6450338146686461;-0.10890584067983544;0.7563536843301774;76.90359853636389;27.31327885331195;2.81561210389205
24;1.0;9.626919866666666;9.850389266666667;16.875;31.117663037501757;54.53758396623108;32.37589216387892;33.80557576139161;6.0;-0.6271498262388778;-0.15477899272601414;0.7633652853380649;134.28013488505957;49.98581051014676;2.686365060696608
21;1.0;14.046648;3.4956999;14.774999999999999;11.143241968570408;26.292607296091134;23.029869067557314;24.88810332773131;4.0;-0.7534966218326885;-0.19465413562603828;0.6279750061669703;89.53868340830473;31.251447989689385;2.8651051125005704
13;0.0;15.264024160000002;8.57271184;12.15;23.98941401651399;25.829449904611614;22.253261969190763;22.686641896585094;5.0;-0.7777458752663128;-0.15292294971078813;0.6096933040127543;72.89826915386539;28.896393165925158;2.5227463073082617
15;0.0;15.4193886;5.597376400000001;13.1;26.95435502621438;29.879220320849925;22.84405052709294;23.3278640300303;6.0;-0.7753933025522477;0.0006288611591298565;0.6314782901183231;78.63078678887591;33.81078668624589;2.3256124596728958
29;1.0;19.3567066;10.829398066666668;8.625;21.898097141459957;29.99293999302471;21.9957155676811;22.609568898373702;6.0;-0.8471355594111455;-0.13833625861047816;0.513054016195976;72.24589488213932;38.51415529801772;1.8758270647015265
11;0.0;20.754277133333336;7.211322066666667;8.799999999999999;26.22869703418795;27.594818678019358;22.05974954827856;22.229748969754517;6.0;-0.8362066809044311;-0.16580587161077565;0.5227492704444325;73.24537617596123;35.04458615691319;2.090062523438081
4;1.0;20.793295600000004;3.6358116666666667;9.299999999999999;11.566728999076817;21.9972879053755;20.667168463821014;21.3923636096853;6.0;-0.8066743778785823;-0.01363892648473286;0.5908387493712192;68.67020305200724;29.7384584929491;2.3091379490395827
6;0.0;25.14775648;5.84000032;6.27;21.68378425313316;23.098707463338123;21.2707502083098;21.352352695058993;5.0;0.8356795881438472;0.24059119564062315;-0.4937160140606591;66.79188179488678;30.151142218036366;2.215235539399631
8;0.0;25.5287186;9.531147266666666;5.875;19.71547952678294;20.423752192973673;19.07739518938084;19.12296343486217;6.0;-0.9110066621785199;-0.06185839761886963;0.40772588844759144;57.39844191061701;28.541512346387766;2.0110511739536956
10;1.0;25.5978877;12.0034992;5.2875;8.329339947903948;25.184000308583627;15.743597700660647;20.03928151983091;4.0;0.8433817563451314;0.3331967448284051;-0.42152952719822145;64.84758085532214;38.799123409627356;1.6713671639094632
2;1.0;29.5344456;4.3295296;4.1571428571428575;23.883266537877727;27.214999851012227;21.643564151679882;21.676363523042003;7.0;-0.8971089041351992;-0.26763901476438995;0.3515180961163853;68.72402766495989;35.24792717131532;1.9497324574844035
14;0.0;30.2854244;8.0661812;4.3500000000000005;17.59827285275167;18.231476742578128;18.526347983156437;18.333469058418316;6.0;-0.9223330359867998;-0.2954951783426551;0.24896660479593452;54.58522521785173;26.345176751820194;2.071924805517975
