,area,perimeter,nb_neighbor,aniso
1,17.145041329626945,16.445803229590894,5.0,1.5141023557744246
2,15.66788078844027,15.631773335437877,7.0,1.5904565459795006
3,30.659908791599815,23.011182139202884,5.0,1.7124930886168117
4,18.528242438962415,16.449260806312278,4.0,1.1140746372259014
5,16.43896849162792,15.14417038968373,5.0,1.1828221457956536
6,18.189963137033814,18.588475322136322,6.0,2.2639767335723042
7,15.788231095943086,18.815134058354303,4.0,2.769456647638281
8,12.729019200467654,14.441009795650372,6.0,1.7611400696672224
9,16.964136959175352,16.07946958638432,6.0,1.461612318860033
10,19.54794862022691,16.558683825449958,4.0,1.236142872361094
11,16.80527421233703,17.576308934648534,4.0,1.7140116305694681
12,13.765041571963419,15.364908841821453,6.0,2.096267834480666
13,10.764739102718021,15.651436123326938,7.0,3.220756585059297
14,20.069432655535312,18.721874328134355,7.0,2.1199272917725787
15,2.793710551238082,6.391902689101049,5.0,1.4484027409856113
16,45.02194371265095,30.99408688611785,6.0,2.8203658407085683
17,11.691377665771023,17.191354986034238,7.0,3.7196442809632244
18,13.129502873752292,20.391088869100255,6.0,4.462193273716937
19,12.020720595685614,17.213676465442482,5.0,3.4194360503460586
20,4.8581021184224245,10.35805140424843,4.0,2.6916723695526
21,16.65158876106546,17.698252400963547,5.0,2.331772608360783
22,9.131388852234474,14.824306647975337,6.0,3.512486427557414
23,8.869468355562997,14.9450811668362,4.0,3.5759938573422696
24,16.83848267404303,18.339403325042344,5.0,2.329994951894415
25,14.457141880435584,17.43868497711357,5.0,2.3134219660731703
26,11.143260824548221,15.27066798878897,5.0,1.9703872108389993
27,15.249804018377619,19.091727444379412,5.0,3.1507727617897245
28,12.950557499493621,18.62419988866592,4.0,4.000691241177274
29,16.488500770089285,19.97996841076474,7.0,2.9868711133067603
30,10.083259836471218,13.933631661271926,5.0,2.5866289235378472
31,12.608766087587469,15.646933286669713,4.0,2.4733563004748174
32,10.337030283591055,17.026093768214547,6.0,3.814718675786354
33,11.463364523291892,13.65923757018079,4.0,1.5325352545174629
34,39.45390959884585,23.72088561084456,7.0,1.2196298628362667
35,26.583151083310547,20.8383301756465,7.0,1.303569339939124
36,17.1259337718071,18.376975016876074,5.0,2.3697155635322766
37,15.688890479698557,18.653850833995012,7.0,2.942842017253893
39,2.0094175801666636,5.310004578809261,3.0,1.3689269350891176
40,22.922456981940663,20.878398207042586,4.0,2.1540997363967875
41,18.873573581279466,17.622540390648574,6.0,1.7092302150620053
42,15.189193282341416,18.398166983387906,7.0,3.0454232242347694
43,17.84815602480524,18.4029448527002,3.0,3.5357318673932547
44,18.08786723510035,17.118289064392528,4.0,1.5680340255972551
45,33.80558802092615,22.183713637460574,4.0,1.5773230237627947
47,14.4603467241489,16.462050355113785,3.0,2.7730847513774726
