,area,perimeter,nb_neighbor,aniso
1,39.97017431092295,25.006640766759716,6.0,1.8018079870123467
2,37.30821213324157,25.552911749349548,5.0,1.9650230609751649
3,39.90906647748468,26.219636938783776,7.0,2.088446290886276
4,26.425443160654915,19.33999108019352,5.0,1.221043134914778
5,40.82429714875948,27.2365617905926,5.0,2.4984267751353846
6,30.160008019097045,24.894423811122497,4.0,2.2753130445886414
7,31.408710090973347,21.801637692275822,3.0,1.2393894777495724
8,30.502242763860835,24.309677280308726,6.0,2.7948258831777473
9,40.396571592742205,27.115764746187136,5.0,2.0509670405589033
10,17.63028560100027,24.661123631717775,6.0,4.396410464521766
11,34.10924175260074,24.26199723552765,5.0,1.6281649569129144
12,28.276374311111013,25.47588388829383,6.0,3.1149373282746033
13,33.985947288014124,23.578705830876554,8.0,1.5779447447613395
14,21.3539618713261,23.684246096300054,7.0,3.6229978773307097
15,23.141142222765954,24.07509625544393,6.0,3.7076346987113187
16,36.97541189060577,25.278346232941217,6.0,2.1270644390598656
17,33.1760275161135,22.592036967559892,6.0,1.73668197511044
18,39.778350618223776,23.415919106349428,6.0,1.102611302566529
19,32.20600312605917,22.400014443448,5.0,1.717230630522669
20,30.839854221364963,22.470402748038985,6.0,2.1520092354827876
21,18.74977720855732,20.181481065952944,6.0,3.396686530434483
22,23.399403625075685,19.83513511909517,8.0,1.8239630921231254
23,49.82901616300477,27.389645279250935,3.0,1.3153443153464695
24,30.827218334533292,21.75248041238201,5.0,1.5789681549122896
25,10.661670922316608,18.40559605061704,6.0,4.687666701994981
27,5.621851006295524,9.956125292293386,4.0,1.7352144677241943
28,36.99723725351613,22.913065456575772,7.0,1.3264453113167332
30,55.29586706576679,28.841738627674818,6.0,1.4831729864647445
31,28.89684983206619,21.14614144271505,8.0,1.4907157778266913
32,32.97922472248076,22.833751422860622,5.0,1.6704948718444312
33,26.53627189630207,22.99192191164521,6.0,2.5278801672035187
34,20.91170324818909,20.36747105090744,6.0,2.62221215129635
35,15.425679166303384,16.931590472367734,5.0,2.025554865774244
36,41.54097934616399,27.345865007488545,6.0,2.0918135724486127
37,26.9306427652723,20.797274917555338,4.0,1.4931590154384677
38,41.376039106505964,25.249808377444836,5.0,1.5187505161531434
40,12.625238369896994,19.791161091603833,7.0,4.459653524153986
41,14.62689663537266,15.77507450866392,4.0,2.1354610460408905
42,12.836783688167026,18.277832149711827,5.0,3.6202309419793846
43,28.165245511781052,20.63029635437777,5.0,1.5770311442438405
44,22.150868695848327,20.45719142797484,6.0,2.1382562261014866
45,38.66731888679182,26.264959086779538,6.0,2.1031154487071935
46,44.18676171700009,25.77969831665124,5.0,1.4586069012260345
48,15.536404720767823,17.849433908546015,7.0,2.5307042904958683
49,20.120917549911372,19.147444185652393,5.0,2.0598943677942905
50,30.085830982539623,24.009118811130126,3.0,2.0130327530809256
51,18.996060989954742,16.37179211587211,5.0,1.0500430739646878
53,6.479222150079144,13.415509238246218,4.0,5.962887653339117
54,39.133052033661606,24.059330150225705,6.0,1.610008386404647
55,16.812099487069464,18.94681881211921,6.0,2.6706323573709954
56,24.893115207610002,21.520275355071178,7.0,2.2298438739803177
57,14.46974914445842,16.023148374516637,6.0,2.1067063369055754
59,3.5864579713091715,9.649806277669319,4.0,3.278873619153002
60,52.286862728102385,27.390123807107845,4.0,1.218686012883778
61,12.127154622758134,13.833022862972859,6.0,1.855184682274692
62,10.256729290948948,17.38611005845528,4.0,4.075477708254733
63,25.22015955768975,20.577262472565355,5.0,1.6449242954925694
64,41.03345035747128,24.668038619350945,7.0,1.440893698550604
65,25.900260452831816,20.747734341606307,5.0,2.0874692119265865
66,17.795022376197306,18.554556927747253,5.0,2.4199894572664795
67,19.000808499120488,18.77637087526891,4.0,2.647941812973868
68,14.90476128453808,17.75564385578039,6.0,2.6564742290917103
69,20.11850753351835,19.02158125272658,5.0,1.8858038138869222
72,17.023725477693446,16.491853906963186,7.0,1.5877419137101858
73,21.226473769803405,18.25992097983048,7.0,1.6979583073046247
74,19.06687629986536,17.168315761289758,5.0,1.4703553385424943
75,11.42491053667078,13.974552219541652,5.0,1.8437043734634615
76,15.333358379954138,16.47542064446687,5.0,1.9730180913718796
77,13.552440644023433,14.181313511348089,5.0,1.4410614903992738
79,21.36297038801202,19.23805420657503,6.0,1.9736656557785028
80,15.479922524433826,17.071283555487263,5.0,2.1703419270554734
81,7.393492151177303,10.929815137535638,4.0,1.5495021520605046
82,19.99279674422396,18.106642722516707,6.0,1.5797844728156598
83,18.91488569350343,18.79264071532775,5.0,2.1000865311394388
84,23.25282616072172,20.888181704037994,7.0,2.011299497069669
85,8.339683827679407,11.873184420935393,6.0,1.616735270726781
86,17.69163378847859,17.47181853653723,6.0,2.094655229340755
88,25.016753869762795,19.478399561912273,4.0,1.5253369763051232
89,20.586777621795594,18.889771008394124,5.0,1.8146098760997407
90,29.1129173643108,21.907513761672462,6.0,1.849938726516757
91,23.132310479401767,18.94782254024656,6.0,1.5646567431118446
92,15.450373101449285,17.719712878928828,5.0,2.5160626324444433
94,26.523078633236757,19.884789547403624,6.0,1.6342056911464866
95,18.428228305926428,16.668530261754707,6.0,1.438682171058992
96,16.04043551925115,15.509928340151923,6.0,1.6500622726520187
97,19.3348759875789,18.546299006142895,4.0,2.879463707440678
98,16.29398692485915,16.28113516167637,4.0,1.7217879628471362
99,28.609359371207344,25.948702697043455,5.0,2.6717192301127723
100,25.382852081524668,19.018555716631454,5.0,1.279618852102052
101,20.319200924439592,18.857253883448106,4.0,2.07123285224676
