Column1;border;fx;fy;fz;area_approximate;area;perimeter_approximate;perimeter;nb_neighbor;orientationx;orientationy;orientationz;major;minor;aniso
52;1.0;4.432407675;7.849719587500001;20.55;14.944866485869746;25.295985950104267;19.10724818075299;24.183104528600122;4.0;0.40036781843868574;0.13736552348873085;-0.9060001782093172;78.37927378375396;21.191599669055762;3.6986010970282885
61;1.0;4.78317375;9.8161354625;19.8;15.060996538615857;26.11682552458385;20.657173971348815;23.237010553660845;4.0;-0.4322786039724339;0.029296389663347872;0.901264073454799;72.54136743736744;25.724394254154113;2.819944630014099
64;1.0;5.89712177;5.867359800000001;18.119999999999997;15.135719595009075;15.88111271555102;17.021521795981684;17.10658231632438;5.0;-0.5289412992557648;-0.08844155158492491;0.8440374363112544;43.068737446556796;18.556460139496988;2.320956536041376
46;1.0;6.129548583333334;3.6848153333333333;17.8;16.115707087754593;44.57340516812619;18.292389335614608;32.560289283910414;6.0;-0.44816213056271614;-0.23764936287558425;0.8617850573398894;135.49685871865728;30.32595081623059;4.468016832835419
59;1.0;7.350143662500001;11.277660775000001;15.825;19.237410094547677;25.165335441790962;20.19847118538207;20.66051261055386;4.0;-0.6087032642389808;-0.3199127969968752;0.7260414164649607;54.18184353643194;33.57239043005485;1.6138810147974147
51;1.0;7.735075264285714;8.451792092857144;15.299999999999999;17.97266281382205;19.021370788278745;17.509025538352816;17.640655715876225;7.0;-0.6137219398267565;-0.08719664370529422;0.7846923766048799;47.36538959474962;24.469115505772475;1.9357213620400673
53;1.0;10.35291385;3.401368;12.66;12.821145862261622;16.03805346000186;15.968350490409096;16.40115456286871;5.0;-0.7203916038143834;-0.05624176678529967;0.6912834446322355;42.94441210855878;22.449943738442443;1.912896201829779
60;1.0;10.760369391666666;11.3095486;11.85;15.975679187981486;17.744072417131584;15.84163702308342;16.07208816501456;6.0;-0.705725081558823;-0.16286422226819647;0.6895124033429478;38.63614373573541;28.227474755100324;1.3687424777079777
43;1.0;11.79849525;8.166826291666666;11.049999999999999;14.597512237672511;15.006711652683878;15.259238516058765;15.31097261710124;6.0;-0.7252280264986276;-0.22527978679093763;0.6506099655279927;36.71675873344825;23.151421745131763;1.585939694661257
26;1.0;12.896853666666667;5.158741466666667;10.25;11.385681720118306;12.065234153319697;13.120797655124445;13.21281649873449;6.0;-0.7211164762573777;-0.2502102580173499;0.6460540646517391;28.544276217200395;21.49118827268356;1.328185108009206
57;1.0;13.314938483333334;12.103201133333334;9.6;5.347739746039526;15.359216249634708;13.19686384500105;15.960829218978585;3.0;-0.7717532970130447;-0.18134303093537527;0.6095174761076722;45.225364645712126;25.360175349149245;1.7833222374477509
38;1.0;14.275116325;10.299767475000001;8.799999999999999;9.234417502220971;10.119081661887662;12.92021907114864;13.065297498427638;6.0;-0.7772556677484517;-0.24799784841687095;0.5782479521221943;30.42622091551133;16.624384722546132;1.830216361285662
33;1.0;14.664147790000001;2.50425719;9.059999999999999;11.005497989144985;19.227505142271752;16.358394570175427;17.640175387270123;5.0;-0.8111773710004616;-0.0018303852220425882;0.5847973345242933;49.364557432308885;30.914338510327948;1.5968175225815373
27;0.0;15.256552716666667;7.592845441666667;8.299999999999999;11.162716624321591;12.492441878520044;14.313434858838988;14.458994860508074;6.0;-0.8004362758900367;-0.08792574548110993;0.5929340869952413;36.54895078317629;19.280964540964344;1.8955976349380435
21;0.0;17.173365308333334;4.9745007;7.199999999999999;20.699601273655706;21.331351475291417;18.254906456630593;18.286281972036118;6.0;-0.8305236198898686;-0.24344699645696471;0.5009631490649904;51.896932017463044;28.908744026317517;1.795198434432775
39;1.0;17.41075245;9.582291412500002;6.8999999999999995;12.424988342315062;14.9144260638282;16.490976713423407;16.801627092116806;4.0;-0.8408599723613257;-0.25686237179952026;0.4764202229482241;43.92973935552785;21.60125740585179;2.033665843157226
13;1.0;19.88949938;2.56378113;6.0;14.995739707397673;16.143535157644465;15.818856333703808;15.952692726950632;5.0;-0.902662846938626;-0.16049063267825145;0.3993025689614191;41.14512800767787;25.27741671821683;1.62774259990047
22;1.0;20.56056094166667;8.237688125;5.5249999999999995;19.1520619382449;19.850046974749088;17.858579032839973;17.958239143577977;6.0;-0.8855091322295933;-0.35318564556404436;0.3018832166674752;51.14027905574454;28.20227338293487;1.8133388880163614
