Column1;fx;fy;fz;area;perimeter;nb_neighbor;aniso
39;2.7513406999999996;15.73896865;8.122499999999999;20.46990099057518;18.255749172567448;4.0;1.6761354443986411
30;2.87049325;40.97764515;1.045;25.56301664219889;23.97095805551881;4.0;2.9971285358884936
28;3.032974;12.0669037;10.64;17.18418294978313;15.76984805295326;4.0;1.1432416151221292
33;3.394042333333333;71.43375906666667;10.386666666666667;23.596982840070126;19.0634378685608;3.0;1.2810724908070301
37;3.4662559999999996;31.701799666666663;2.3275;29.205102846014007;25.84118346574081;6.0;3.022753039865524
27;3.52041625;58.991344299999994;3.6575;24.388088137170385;20.820134057913094;4.0;1.7653517660775928
40;4.128558485714286;66.66972031428571;7.491428571428571;24.699664058160877;22.479072793943843;7.0;2.827497680196214
41;4.224499499999999;20.797535999999997;5.9375;33.306711128655245;25.796839943205825;6.0;2.654426635873083
31;4.38481384;38.41478212;1.311;15.451549369323157;16.707097435947354;5.0;2.1766621454442685
24;5.0044071;45.249083533333334;1.3933333333333333;22.66583371603105;19.009627677764982;6.0;1.744891553661487
32;5.05856735;72.43391835;11.6375;22.9716650228292;19.288462150078235;4.0;2.3145553109245816
25;5.07806504;59.35096836;4.047;20.899709713604693;19.977259716619727;5.0;2.4781332177924993
21;5.141613066666666;13.843359899999998;10.07;16.728041141287363;17.61058410976028;6.0;2.1747115833700166
38;5.199383999999999;10.71289745;12.35;16.83374828800955;16.060533278328066;4.0;2.235394040003272
34;5.213826733333334;52.1888169;2.185;28.267401839464327;21.237627308590714;6.0;1.835956113730535
14;5.6759942;32.3661654;2.527;20.18678093989183;20.562208036909354;5.0;2.796484858619248
13;6.318695833333333;24.487654366666664;5.035;26.82360191535187;23.189586439327705;6.0;2.540954104537407
19;6.744756466666666;64.47958296666665;6.745;22.49229867431711;20.785101079324495;6.0;2.368822270699775
15;7.161532485714285;39.40390302857143;1.9407142857142858;28.129812192306805;23.610354048886137;7.0;2.4955479559409395
7;7.1635957333333335;16.926883466666666;8.771666666666667;15.621713929171671;16.88987306567783;6.0;2.1532131945564488
29;7.17514992;70.65096292;10.963;21.78090575254841;19.96583973486414;5.0;2.3996420263682037
16;7.478447319999999;12.530515439999999;11.856;16.098167999886147;16.9108121568871;5.0;1.88145433192875
18;8.1023734;56.72280354285714;3.7728571428571436;26.077007453761993;21.461017053730313;7.0;1.9775928249390153
8;8.138480233333333;30.373068199999995;3.578333333333333;24.341039633539186;21.212644153291176;6.0;2.287117828032508
17;8.455188742857143;48.180958399999994;2.3614285714285717;30.400132124899937;23.9744391707998;7.0;2.3148916008601823
3;8.940051933333333;22.097382;6.776666666666666;26.976558274888504;23.079024257924676;6.0;2.514219922947716
36;9.37622248;69.66307995999999;10.906;19.573271059399808;19.551624290186027;5.0;2.6692246916767237
9;9.41305145;42.309987299999996;2.2800000000000002;20.166251920236476;18.470017343405786;4.0;1.736491058444965
20;9.416662133333332;64.02463686666665;7.346666666666667;30.09722722380678;24.595421215445707;6.0;2.751152051168931
4;9.561089466666667;15.475388766666667;10.450000000000001;11.606718072875172;14.527435610286053;6.0;2.1263343730923827
1;10.77139052;28.69193404;4.522;19.307615519576203;18.297200478952387;5.0;2.2536510092973825
2;10.7887218;35.3991394;3.1214285714285714;27.393219572923467;21.600457878240114;7.0;2.003745635702615
23;11.297828149999999;68.7835175;10.83;27.36311795120644;21.907026377327966;4.0;2.721454766718407
5;11.351988399999998;15.52593833333333;10.703333333333333;15.01214261892066;15.1000685309159;3.0;1.560196714892965
22;11.490638639999998;59.19498684;5.51;32.08862669778901;21.6903418337708;5.0;1.452639185557032
26;11.57729504;52.43578764;3.686;30.779071914361268;23.04503030398012;5.0;1.8402319359502768
11;11.58596068;19.66233716;8.474;24.306111527345596;20.911143257387348;5.0;2.108037358652079
10;11.7852704;43.544841;2.85;27.25372186914914;21.143441807186996;6.0;1.7530872659577883
35;11.882758849999998;65.1872769;8.5025;14.218581574842183;16.022375681644807;4.0;2.0373747200382892
12;12.189666933333333;25.7369508;5.890000000000001;20.06354454413367;19.05267046289937;3.0;1.9606699411367965
6;12.8684754;37.5655494;3.42;18.90910722443145;18.917921555134516;3.0;2.263892009696542
