,Column1,fx,fy,fz,area,perimeter,nb_neighbor,aniso
10,38,4.640439375,19.2664168125,31.6025625,48.198813983465406,33.91822454668607,5.0,4.453328806928626
11,53,5.1056291,23.04866135,26.91315,41.4053071296809,25.061556081384516,4.0,1.420401382089889
12,28,5.217152416666667,17.538187333333333,34.0492125,45.03415972191161,25.6955636923259,5.0,1.4802784326553058
13,45,5.350827625,15.37646825,36.954609375,34.31218888228188,22.6300007601326,4.0,1.3146317931141418
14,60,5.359011821428571,106.7546582142857,26.86945982142857,41.99053178846244,26.591408272035483,3.0,1.5926133246580283
15,44,5.40353385,46.79854465,6.769065,33.34083994583301,22.573982368016004,5.0,1.3943428559747033
16,61,5.4539485,97.28652505,15.06728625,24.16621902978904,20.03606784653872,5.0,1.7966486259093288
17,8,5.634000821428572,55.40373614285714,3.902989285714285,30.55131761622213,21.137433312783056,6.0,1.172099229330088
18,15,5.648732375,34.9694345,16.94305125,66.43579546416449,30.356300868545407,7.0,1.1531712390800062
19,33,5.6739397,78.05562764999999,4.485525,17.87586255241376,17.16080680554754,3.0,1.931708333475688
20,79,6.330475937499999,84.72525668749999,8.19372890625,20.74203480078181,20.93254478935152,6.0,3.0909928691909725
21,35,6.4255763,91.2780154,12.4371375,27.563663100659436,19.485401556409407,5.0,1.206221391083933
22,76,6.8563924,106.60865214999998,36.291975,27.14680244241656,23.582623247200512,6.0,2.364450282782085
23,17,6.985484458333333,28.65232608333333,22.6315125,100.75936139930484,38.54351428976327,8.0,1.432639482815388
24,11,7.0213858,42.2474767,11.336145,42.58268804166749,25.19788559684896,6.0,1.645906950078308
25,24,7.241377,23.25948625,27.915596874999995,40.955769437555176,24.342991388355717,6.0,1.2232999786648089
26,3,7.48428395,63.20622165,4.6078575,12.44480662782101,15.184126181369738,5.0,2.319774539773899
27,63,7.503271285714285,104.99669282142855,30.9909,45.69586540003815,30.175561576854225,9.0,2.9116931487278896
28,78,7.5805301,101.75051315,24.32377875,41.54895387230456,29.707539663558443,8.0,2.9179821559735584
29,50,7.955584541666666,15.559794249999998,36.6317875,18.183367096143304,20.691562461217067,4.0,2.981944065424176
30,36,8.001416041666666,18.500648833333333,32.6899625,16.052693597378237,18.11590363049169,4.0,2.5138098153616006
31,74,8.06307032142857,94.71406842857142,17.694522321428572,46.815629517477305,26.493590277547764,5.0,1.6046945057806816
32,75,8.3356040625,103.9916735,32.52005625,14.81431639207284,17.634289773567794,5.0,2.435975304670653
33,49,8.6071557,21.7791288,29.58407625,35.81509907080157,24.38876850173217,6.0,1.8104235697033
34,48,8.65887982142857,103.52681114285714,34.61718482142857,22.795991214783346,23.497902940736186,5.0,3.1285297373359766
35,41,8.878216285714284,70.32843675,6.437019642857143,17.940619919680575,17.90225279544934,6.0,2.067930109938058
36,34,9.11588535,77.91355,7.625392499999999,34.48103380673633,22.345646110325237,5.0,1.3176844830756385
37,37,9.193035041666668,87.36629687499999,13.83036875,23.801938084683528,22.58403005283384,6.0,2.9939095492857613
38,54,9.311433083333332,98.94638920833331,24.347565625,21.182628309273944,20.84907881395497,6.0,2.9457808047442304
