Column1;area;perimeter;nb_neighbor;aniso;fx;fy;fz
37;26.9306427652723;20.797274917555338;4.0;1.4931590154384677;2.6181244374999997;68.2488324375;2.803453125
101;20.319200924439592;18.857253883448106;4.0;2.07123285224676;3.0477947499999996;22.3715009375;12.6155390625
74;19.06687629986536;17.168315761289758;5.0;1.4703553385424943;3.2036218499999998;37.87973475;3.6903637500000004
43;28.165245511781052;20.63029635437777;5.0;1.5770311442438405;3.3640321;74.3845245;3.7107524999999995
11;34.10924175260074;24.26199723552765;5.0;1.6281649569129144;3.49694345;81.030092;5.07679875
82;19.99279674422396;18.106642722516707;6.0;1.5797844728156598;3.6817971666666662;43.826371875;3.1942375
7;31.408710090973347;21.801637692275822;3.0;1.2393894777495724;3.742905833333333;104.98468933333334;13.728425000000001
79;21.36297038801202;19.23805420657503;6.0;1.9736656557785028;3.9033160833333334;31.161600708333328;5.674868749999999
51;18.996060989954742;16.37179211587211;5.0;1.0500430739646878;3.9140101;49.2871951;2.60976
9;40.396571592742205;27.115764746187136;5.0;2.0509670405589033;3.96442475;90.7188711;7.27878375
20;30.839854221364963;22.470402748038985;6.0;2.1520092354827876;3.9873404999999997;62.789154999999994;3.36414375
90;29.1129173643108;21.907513761672462;6.0;1.849938726516757;4.1974015416666655;25.256975791666665;9.225909375
33;26.53627189630207;22.99192191164521;6.0;2.5278801672035187;4.850500416666667;56.05192449999999;3.1772468750000002
16;36.97541189060577;25.278346232941217;6.0;2.1270644390598656;4.957440583333333;100.279322;11.04390625
99;28.609359371207344;25.948702697043455;5.0;2.6717192301127723;4.995633499999999;18.0759436;17.96248875
17;33.1760275161135;22.592036967559892;6.0;1.73668197511044;5.400478416666666;69.54166266666665;4.8933
83;18.91488569350343;18.79264071532775;5.0;2.1000865311394388;5.42186645;34.11238545;4.8525225
81;7.393492151177303;10.929815137535638;4.0;1.5495021520605046;5.648732375;43.9524085;4.026778125
72;17.023725477693446;16.491853906963186;7.0;1.5877419137101858;5.9089898214285705;39.80138407142857;3.97580625
61;12.127154622758134;13.833022862972859;6.0;1.855184682274692;5.919902083333333;47.435602499999995;3.890853125
