Column1,area,perimeter,nb_neighbor,aniso,fx,fy,fz
79,21.36297038801202,19.23805420657503,6.0,1.9736656557785028,3.903316083333333,31.161600708333328,5.674868749999999
51,18.996060989954746,16.37179211587211,5.0,1.0500430739646878,3.9140101,49.2871951,2.60976
9,40.396571592742205,27.115764746187136,5.0,2.0509670405589038,3.96442475,90.7188711,7.27878375
20,30.839854221364963,22.470402748038985,6.0,2.152009235482788,3.9873405,62.789155,3.36414375
90,29.1129173643108,21.907513761672465,6.0,1.849938726516757,4.1974015416666655,25.256975791666665,9.225909375
33,26.53627189630207,22.99192191164521,6.0,2.5278801672035187,4.850500416666667,56.05192449999999,3.177246875
16,36.97541189060577,25.278346232941217,6.0,2.1270644390598656,4.957440583333333,100.279322,11.04390625
99,28.609359371207344,25.94870269704345,5.0,2.6717192301127723,4.995633499999999,18.0759436,17.96248875
17,33.1760275161135,22.59203696755989,6.0,1.73668197511044,5.400478416666666,69.54166266666665,4.8933
83,18.91488569350343,18.79264071532775,5.0,2.1000865311394388,5.42186645,34.11238545,4.8525225
81,7.393492151177303,10.929815137535638,4.0,1.5495021520605046,5.648732375,43.9524085,4.026778125
72,17.023725477693446,16.491853906963186,7.0,1.5877419137101858,5.9089898214285705,39.80138407142857,3.97580625
61,12.127154622758134,13.83302286297286,6.0,1.855184682274692,5.919902083333333,47.4356025,3.890853125
2,37.30821213324157,25.552911749349548,5.0,1.9650230609751649,5.999343349999999,84.75619294999998,6.646732500000001
41,14.62689663537266,15.77507450866392,4.0,2.1354610460408905,6.038300124999999,65.30415856249999,5.40301875
35,15.425679166303384,16.931590472367734,5.0,2.025554865774244,6.058924299999999,51.1571203,3.60880875
94,26.52307863323676,19.884789547403624,6.0,1.6342056911464866,6.179613916666667,20.261342291666665,14.000275
5,40.82429714875948,27.2365617905926,5.0,2.4984267751353846,6.393494249999999,106.5949027,15.577005
13,33.985947288014124,23.578705830876554,8.0,1.5779447447613395,6.5710913125,77.18597493749999,7.09783359375
56,24.89311520761,21.520275355071178,7.0,2.2298438739803177,6.655388535714286,62.0100195,6.102061607142858
89,20.586777621795594,18.889771008394124,5.0,1.814609876099741,6.76014625,26.389777700000003,7.890446249999999
42,12.836783688167026,18.277832149711827,5.0,3.620230941979385,6.980137449999999,54.97488425,4.6078575
1,39.97017431092295,25.00664076675972,6.0,1.801807987012347,7.233738416666665,93.51917575,8.835125
85,8.339683827679407,11.873184420935392,6.0,1.616735270726781,7.386510083333332,29.416184416666667,6.3375031250000005
22,23.399403625075685,19.83513511909517,8.0,1.8239630921231251,7.636673687499999,69.13395328125,8.3593875
