,Column1,border,fx,fy,fz,area_approximate,area,perimeter_approximate,perimeter,nb_neighbor,orientationx,orientationy,orientationz,major,minor,aniso
19,14,0.0,30.2854244,8.0661812,4.3500000000000005,17.59827285275167,18.231476742578128,18.52634798315644,18.33346905841832,6.0,-0.9223330359867998,-0.2954951783426551,0.2489666047959345,54.58522521785173,26.345176751820198,2.071924805517975
20,20,1.0,31.725560533333336,11.031584666666667,3.925,18.69859251866724,19.826988396036544,18.999527582212767,18.99029901003752,6.0,-0.963736081513294,-0.1832408198989645,0.1939988843064756,59.3958128026048,26.723665231389777,2.2225923086642365
21,3,0.0,34.72501648,7.666064560000001,3.18,18.62863018388864,19.99764999643825,17.886518733721797,18.11555435538792,5.0,-0.9237213993413514,-0.356439800866096,0.1403190819432398,52.17208573630175,27.06715593904233,1.927505270734686
22,1,1.0,36.4255122,3.4371722,1.875,11.840505703705574,25.01375157494122,20.73865386534316,22.01273218918241,4.0,-0.9780586385375948,-0.098929185889413,0.1833420730799269,71.25708031698234,37.12443082772147,1.9194120617675143
23,7,0.0,37.07818473333334,10.4498548,3.4,12.226143126282462,12.644450311471452,17.223283914431175,17.025780889054147,6.0,-0.9574703147782916,-0.2801843226320248,0.0689009555056593,49.91966184512273,17.410948628669185,2.867141986906107
24,9,0.0,37.55704773333333,5.586735,1.9,20.60966669865787,23.210606260772398,20.16461450564898,20.291528361634125,6.0,-0.974505644158891,-0.1012263402177386,0.2002298118377668,63.42033520422908,31.95621675808627,1.984600858240864
25,17,1.0,38.713413200000005,12.120554600000002,3.225,5.021926560267656,18.11126461772336,14.860487185214016,17.857762811747605,4.0,-0.9159776853315472,-0.3835401683288271,0.1178211324549036,56.38117045064657,30.42541841505764,1.8530943332152607
26,12,0.0,40.06132386666667,9.059378533333334,2.5,12.427430233684907,13.047028733786378,13.646748056470557,13.767567823691165,6.0,0.929216121880866,0.3695294549044479,-0.002319654005343,32.150625730010645,21.977965156905373,1.4628572527292896
27,26,0.0,42.63370496,7.0871724,1.6800000000000002,15.429544380810276,16.314924321510038,16.06792032333884,16.13870982978249,5.0,0.9558996844405734,0.2583973988147555,0.1395943321635246,42.50946758351381,25.417555565719027,1.6724451520761838
28,5,1.0,43.15300528,4.36723056,1.0799999999999998,14.430194029921108,30.96460355718618,18.15141714485101,21.43576180196011,5.0,0.8800295748503232,-0.4703720425429158,0.0655598122538872,81.04045137630716,49.36099976640341,1.641791125783999
29,16,1.0,44.1709312,11.78155,3.128571428571429,14.851155747204349,15.127972181545898,17.176036611622433,17.01207020236016,7.0,0.9805228445544,0.1959053321180179,0.0140018625431464,50.7050653573186,19.557654417089925,2.592594401965266
30,18,0.0,45.47779646666667,9.311225,2.65,12.637265877049668,14.306486196814406,15.068865063356933,15.27140094492563,6.0,-0.99356567372501,-0.0019910694597494,-0.1132399560127664,41.84797889208742,22.828362524659603,1.833157277351036
31,31,1.0,48.12395793333334,6.1755591333333335,1.7749999999999997,19.102057694342676,19.610369067905385,17.4061275876821,17.3582016828893,6.0,0.8923217615152065,-0.4350498316844893,-0.1203890272312906,46.87683293686791,33.030448723091844,1.4192006088035962
32,27,0.0,49.69959456,11.0032076,2.76,15.390646788209729,16.72094876075675,15.85656013395444,15.984284453788256,5.0,-0.9906505248334992,-0.0931578276872337,0.0996652235622246,42.05731903936226,27.284400228678468,1.5414419480313908
33,28,1.0,50.6477433,12.9452631,3.075,5.83225863177071,18.05579551454284,14.848166091321708,17.194539605609627,4.0,0.9378943734635474,0.3467525751349008,0.0108072134583823,49.94409922030343,34.65528093540252,1.4411684993522138
34,22,0.0,51.000683066666674,8.165500933333334,2.175,16.965415176049707,17.416838871836482,16.77251010261562,16.66204661852303,6.0,-0.9594204895766788,0.2050598594480654,0.1935530372367896,41.71733139914567,33.12308694656073,1.259463873836714
35,50,1.0,54.15763173333334,5.157531866666667,1.625,10.428027635503968,16.10491247663446,14.42346322122454,15.581798183108008,6.0,0.9962726521633328,-0.0175009588634385,0.0844660818926683,41.66695356308789,30.585155214453096,1.3623260457870117
36,25,1.0,54.635988000000005,11.620408800000002,2.8285714285714283,16.648374094496837,17.469281015938908,16.561403505716804,16.514879651253118,7.0,-0.9535382191947828,-0.2345963273023081,-0.1890222943229464,45.87406578737021,29.1232646103076,1.5751690753492658
37,41,0.0,55.11819544,8.0236156,2.1,14.301067087788066,15.028358898880551,14.99338556591212,15.083145186062886,5.0,0.9914322754254654,-0.0306035960474763,0.1269860746446125,34.79658790709647,29.101987665604074,1.195677364272369
38,44,0.0,57.86367664000001,6.6019245600000005,2.22,6.898447025211126,7.046220909226184,10.545753308274492,10.552152062861428,5.0,0.7999137207025686,0.5642617086326557,0.2043202476572718,22.081827043046413,13.770265160092828,1.6035876423818665
39,30,1.0,59.006563,12.663266,3.975,7.227210160218177,12.518318117566658,14.61771396951739,15.429055937352016,4.0,0.968667653368856,-0.090083153667421,0.231447624187862,42.43843616985207,24.2071612742058,1.753135598558299
40,49,0.0,59.0840932,9.8448152,3.1714285714285717,15.806617166388946,16.453993482187883,15.693969452390352,15.68944670106482,7.0,0.931503240640841,0.2486600064172722,0.265461699467501,41.68381919609906,26.679324297113464,1.5624016085223338
