,res,diameter,aniso_cell,area,c_perimeter,volume,center_diameter,l,b
27,True,30.751722890112383,1.7354846135700863,0.9977635507765708,3.9244571345517074,5518.812348997318,"vert
0       11556.382628
1       11714.914907
2       11653.937480
3       11711.596847
4       11531.150092
            ...     
3295     7995.188959
3296     7797.182360
3297     7125.217632
3298     5871.697449
3299     7207.221341
Length: 3300, dtype: float64",0.0008576958985908938,0.001584893192461114
28,True,30.72256539682934,1.7388530481200777,1.002165265293446,3.934289706302375,5556.188537626349,"vert
0       11736.160570
1       11914.556882
2       11857.603418
3       11892.114106
4       11723.618985
            ...     
3295     8109.872603
3296     7894.629559
3297     7204.931845
3298     5956.004217
3299     7315.347489
Length: 3300, dtype: float64",0.001584893192461114,0.001584893192461114
29,True,30.633629032878286,1.7444104360108996,1.0038348018477088,3.939540913980883,5575.983313179859,"vert
0       11863.360512
1       12083.466886
2       11994.257571
3       12026.153142
4       11870.649549
            ...     
3295     8191.314539
3296     7970.834461
3297     7270.919152
3298     6018.733237
3299     7396.366149
Length: 3300, dtype: float64",0.0029286445646252374,0.001584893192461114
30,True,30.66873012275518,1.7436740994756617,1.0054554462124519,3.9424364826115674,5586.758542025927,"vert
0       11891.523071
1       12106.283146
2       12027.361799
3       12053.160405
4       11906.375734
            ...     
3295     8208.423672
3296     7981.148048
3297     7280.184994
3298     6023.401022
3299     7407.976983
Length: 3300, dtype: float64",0.0054116952654646375,0.001584893192461114
31,True,31.10181220319749,1.7430312822480212,1.0034953679668663,3.9384366965198376,5593.649909832359,"vert
0       11511.807366
1       11832.754746
2       11669.717092
3       11670.725074
4       11561.069286
            ...     
3295     8030.073223
3296     7913.772177
3297     7252.290107
3298     5927.156338
3299     7280.345812
Length: 3300, dtype: float64",0.01,0.001584893192461114
32,True,27.60383280086573,1.3736978150108519,0.7466801269922471,3.3008090926931386,2809.799933935481,"vert
0       4834.526409
1       3191.552451
2       2909.555818
3       3319.188764
4       4718.569305
           ...     
3295    2998.872823
3296    2763.796976
3297    2662.703290
3298    1703.255335
3299    2236.482019
Length: 3300, dtype: float64",1e-06,0.0025118864315095794
33,True,27.816507015501394,1.387552580397465,0.7476862364751747,3.305746144409526,2889.985701957799,"vert
0       4978.757111
1       3185.068505
2       3164.045946
3       3576.609472
4       4729.535928
           ...     
3295    2907.032660
3296    2844.725762
3297    2624.058858
3298    1725.130146
3299    2193.608995
Length: 3300, dtype: float64",1.8478497974222906e-06,0.0025118864315095794
34,True,28.042692735634706,1.4521788776918918,0.75965318717895,3.3454409532224973,3132.511122994991,"vert
0       5265.831046
1       3900.098910
2       3858.990162
3       4110.057236
4       5219.930645
           ...     
3295    3238.664897
3296    3236.363699
3297    2974.489004
3298    2025.036630
3299    2547.286106
Length: 3300, dtype: float64",3.414548873833601e-06,0.0025118864315095794
35,True,28.328517077856993,1.5021106744254058,0.7782664163523668,3.3981563949933715,3394.9709792609747,"vert
0       5804.900956
1       4511.738903
2       4742.078504
3       4919.959269
4       5765.079218
           ...     
3295    3584.592949
3296    3391.329215
3297    3175.359646
3298    2321.645151
3299    2884.495379
Length: 3300, dtype: float64",6.30957344480193e-06,0.0025118864315095794
36,True,28.80270880143157,1.5719031870685525,0.8019452912044335,3.468543742483752,3719.0251323123825,"vert
0       6099.770044
1       5530.021555
2       5657.430108
3       5692.593597
4       6105.604378
           ...     
3295    4147.263768
3296    3983.148985
3297    3703.690656
3298    2830.764271
3299    3505.684337
Length: 3300, dtype: float64",1.165914401179831e-05,0.0025118864315095794
